entidad,municipio,lon,lat,cvegeo
Tamaulipas,Matamoros,-97.5039,25.8694,28022
Tamaulipas,Nuevo Laredo,-99.5075,27.5036,28027
Tamaulipas,Reynosa,-98.2772,26.0922,28032
Tamaulipas,Tampico,-97.8686,22.2553,28038
Tlaxcala,Tlaxcala,-98.24,19.3139,29033
Veracruz,Coatzacoalcos,-94.4598,18.1389,30039
Veracruz,Córdoba,-96.9347,18.8836,30044
Veracruz,Orizaba,-97.0992,18.8511,30118
Veracruz,Poza Rica de Hidalgo,-97.4592,20.5331,30131
Veracruz,Veracruz,-96.1342,19.1738,30193
Veracruz,Xalapa,-96.9103,19.532,30087
Yucatán,Mérida,-89.5926,20.9674,31050
Zacatecas,Chalchihuites,-103.8847,23.4769,32009
Zacatecas,Fresnillo,-102.8667,23.1742,32010
Zacatecas,Sombrerete,-103.6453,23.6306,32042
Zacatecas,Zacatecas,-102.5833,22.7708,32056
